Date,Commodity,Min_Price,Max_Price,Modal_Price,District,Market,Variety,Grade
1-Jan-02,Potato,600,800,700,pune,pune,,
2-Jan-02,Potato,600,800,700,pune,pune,,
3-Jan-02,Potato,600,800,700,pune,pune,,
4-Jan-02,Potato,600,800,700,pune,pune,,
5-Jan-02,Potato,600,773,690,pune,pune,,
6-Jan-02,Potato,600,747,680,pune,pune,,
7-Jan-02,Potato,600,720,670,pune,pune,,
8-Jan-02,Potato,650,800,725,pune,pune,,
9-Jan-02,Potato,700,800,750,pune,pune,,
10-Jan-02,Potato,500,650,575,pune,pune,,
11-Jan-02,Potato,550,650,600,pune,pune,,
12-Jan-02,Potato,533,650,592,pune,pune,,
13-Jan-02,Potato,517,650,583,pune,pune,,
14-Jan-02,Potato,500,650,575,pune,pune,,
15-Jan-02,Potato,500,650,575,pune,pune,,
16-Jan-02,Potato,500,700,600,pune,pune,,
17-Jan-02,Potato,500,700,600,pune,pune,,
18-Jan-02,Potato,400,600,500,pune,pune,,
19-Jan-02,Potato,417,600,508,pune,pune,,
20-Jan-02,Potato,433,600,517,pune,pune,,
21-Jan-02,Potato,450,600,525,pune,pune,,
22-Jan-02,Potato,500,650,575,pune,pune,,
23-Jan-02,Potato,550,650,600,pune,pune,,
24-Jan-02,Potato,400,600,500,pune,pune,,
25-Jan-02,Potato,500,600,550,pune,pune,,
26-Jan-02,Potato,500,617,558,pune,pune,,
27-Jan-02,Potato,500,633,567,pune,pune,,
28-Jan-02,Potato,500,650,575,pune,pune,,
29-Jan-02,Potato,400,600,500,pune,pune,,
30-Jan-02,Potato,475,625,550,pune,pune,,
31-Jan-02,Potato,550,650,600,pune,pune,,
1-Feb-02,Potato,525,650,600,pune,pune,,
2-Feb-02,Potato,483,633,567,pune,pune,,
3-Feb-02,Potato,442,617,533,pune,pune,,
4-Feb-02,Potato,400,600,500,pune,pune,,
5-Feb-02,Potato,400,600,500,pune,pune,,
6-Feb-02,Potato,400,550,475,pune,pune,,
7-Feb-02,Potato,400,500,450,pune,pune,,
8-Feb-02,Potato,409,509,459,pune,pune,,
9-Feb-02,Potato,418,518,468,pune,pune,,
10-Feb-02,Potato,427,527,477,pune,pune,,
11-Feb-02,Potato,436,536,486,pune,pune,,
12-Feb-02,Potato,445,545,495,pune,pune,,
13-Feb-02,Potato,455,555,505,pune,pune,,
14-Feb-02,Potato,464,564,514,pune,pune,,
15-Feb-02,Potato,473,573,523,pune,pune,,
16-Feb-02,Potato,482,582,532,pune,pune,,
17-Feb-02,Potato,491,591,541,pune,pune,,
18-Feb-02,Potato,500,600,550,pune,pune,,
19-Feb-02,Potato,500,600,550,pune,pune,,
20-Feb-02,Potato,500,600,550,pune,pune,,
21-Feb-02,Potato,450,550,500,pune,pune,,
22-Feb-02,Potato,368,540,490,pune,pune,,
23-Feb-02,Potato,286,530,480,pune,pune,,
24-Feb-02,Potato,204,520,470,pune,pune,,
25-Feb-02,Potato,122,510,460,pune,pune,,
26-Feb-02,Potato,40,500,450,pune,pune,,
27-Feb-02,Potato,450,550,500,pune,pune,,
28-Feb-02,Potato,450,550,500,pune,pune,,
28-Feb-02,Potato,462,558,510,pune,pune,,
28-Feb-02,Potato,475,565,520,pune,pune,,
28-Feb-02,Potato,488,572,530,pune,pune,,
1-Mar-02,Potato,500,580,540,pune,pune,,
2-Mar-02,Potato,483,570,527,pune,pune,,
3-Mar-02,Potato,467,560,513,pune,pune,,
4-Mar-02,Potato,450,550,500,pune,pune,,
5-Mar-02,Potato,450,550,500,pune,pune,,
6-Mar-02,Potato,450,550,500,pune,pune,,
7-Mar-02,Potato,465,565,515,pune,pune,,
8-Mar-02,Potato,481,581,531,pune,pune,,
9-Mar-02,Potato,496,596,546,pune,pune,,
10-Mar-02,Potato,512,612,562,pune,pune,,
11-Mar-02,Potato,527,627,577,pune,pune,,
12-Mar-02,Potato,542,642,592,pune,pune,,
13-Mar-02,Potato,558,658,608,pune,pune,,
14-Mar-02,Potato,573,673,623,pune,pune,,
15-Mar-02,Potato,588,688,638,pune,pune,,
16-Mar-02,Potato,604,704,654,pune,pune,,
17-Mar-02,Potato,619,719,669,pune,pune,,
18-Mar-02,Potato,635,735,685,pune,pune,,
19-Mar-02,Potato,650,750,700,pune,pune,,
20-Mar-02,Potato,631,738,684,pune,pune,,
21-Mar-02,Potato,612,725,669,pune,pune,,
22-Mar-02,Potato,594,712,653,pune,pune,,
23-Mar-02,Potato,575,700,638,pune,pune,,
24-Mar-02,Potato,556,688,622,pune,pune,,
25-Mar-02,Potato,538,675,606,pune,pune,,
26-Mar-02,Potato,519,662,591,pune,pune,,
27-Mar-02,Potato,500,650,575,pune,pune,,
28-Mar-02,Potato,500,650,575,pune,pune,,
29-Mar-02,Potato,500,650,575,pune,pune,,
30-Mar-02,Potato,500,650,575,pune,pune,,
31-Mar-02,Potato,500,650,575,pune,pune,,
1-Apr-02,Potato,500,650,575,pune,pune,,
2-Apr-02,Potato,500,650,575,pune,pune,,
3-Apr-02,Potato,500,650,575,pune,pune,,
4-Apr-02,Potato,490,640,565,pune,pune,,
5-Apr-02,Potato,480,630,555,pune,pune,,
6-Apr-02,Potato,470,620,545,pune,pune,,
7-Apr-02,Potato,460,610,535,pune,pune,,
8-Apr-02,Potato,450,600,525,pune,pune,,
9-Apr-02,Potato,550,650,600,pune,pune,,
10-Apr-02,Potato,500,650,575,pune,pune,,
11-Apr-02,Potato,500,650,576,pune,pune,,
12-Apr-02,Potato,500,650,576,pune,pune,,
13-Apr-02,Potato,500,650,576,pune,pune,,
14-Apr-02,Potato,500,650,575,pune,pune,,
15-Apr-02,Potato,500,650,575,pune,pune,,
16-Apr-02,Potato,500,650,575,pune,pune,,
17-Apr-02,Potato,600,700,650,pune,pune,,
18-Apr-02,Potato,500,650,575,pune,pune,,
19-Apr-02,Potato,550,650,600,pune,pune,,
20-Apr-02,Potato,517,617,567,pune,pune,,
21-Apr-02,Potato,483,583,533,pune,pune,,
22-Apr-02,Potato,450,550,500,pune,pune,,
23-Apr-02,Potato,471,564,518,pune,pune,,
24-Apr-02,Potato,493,579,536,pune,pune,,
25-Apr-02,Potato,514,593,554,pune,pune,,
26-Apr-02,Potato,536,607,571,pune,pune,,
27-Apr-02,Potato,557,621,589,pune,pune,,
28-Apr-02,Potato,579,636,607,pune,pune,,
29-Apr-02,Potato,600,650,625,pune,pune,,
30-Apr-02,Potato,600,650,625,pune,pune,,
30-Apr-02,Potato,600,650,625,pune,pune,,
1-May-02,Potato,600,650,625,pune,pune,,
2-May-02,Potato,600,650,625,pune,pune,,
3-May-02,Potato,600,650,625,pune,pune,,
4-May-02,Potato,600,650,625,pune,pune,,
5-May-02,Potato,600,650,625,pune,pune,,
6-May-02,Potato,600,650,625,pune,pune,,
7-May-02,Potato,600,650,625,pune,pune,,
8-May-02,Potato,592,650,621,pune,pune,,
9-May-02,Potato,583,650,617,pune,pune,,
10-May-02,Potato,575,650,612,pune,pune,,
11-May-02,Potato,567,650,608,pune,pune,,
12-May-02,Potato,558,650,604,pune,pune,,
13-May-02,Potato,550,650,600,pune,pune,,
14-May-02,Potato,500,650,575,pune,pune,,
15-May-02,Potato,600,650,625,pune,pune,,
16-May-02,Potato,500,600,550,pune,pune,,
17-May-02,Potato,450,600,525,pune,pune,,
18-May-02,Potato,458,603,532,pune,pune,,
19-May-02,Potato,467,607,540,pune,pune,,
20-May-02,Potato,475,610,548,pune,pune,,
21-May-02,Potato,483,613,555,pune,pune,,
22-May-02,Potato,492,617,562,pune,pune,,
23-May-02,Potato,500,620,570,pune,pune,,
24-May-02,Potato,517,630,582,pune,pune,,
25-May-02,Potato,533,640,593,pune,pune,,
26-May-02,Potato,550,650,605,pune,pune,,
27-May-02,Potato,567,660,617,pune,pune,,
28-May-02,Potato,583,670,628,pune,pune,,
29-May-02,Potato,600,680,640,pune,pune,,
30-May-02,Potato,550,650,600,pune,pune,,
31-May-02,Potato,550,650,600,pune,pune,,
1-Jun-02,Potato,550,650,600,pune,pune,,
2-Jun-02,Potato,550,650,600,pune,pune,,
3-Jun-02,Potato,550,650,600,pune,pune,,
4-Jun-02,Potato,550,650,600,pune,pune,,
5-Jun-02,Potato,550,650,600,pune,pune,,
6-Jun-02,Potato,550,650,600,pune,pune,,
7-Jun-02,Potato,550,650,600,pune,pune,,
8-Jun-02,Potato,550,650,600,pune,pune,,
9-Jun-02,Potato,550,650,600,pune,pune,,
10-Jun-02,Potato,550,650,600,pune,pune,,
11-Jun-02,Potato,550,650,600,pune,pune,,
12-Jun-02,Potato,525,650,588,pune,pune,,
13-Jun-02,Potato,500,650,575,pune,pune,,
14-Jun-02,Potato,512,642,575,pune,pune,,
15-Jun-02,Potato,525,635,575,pune,pune,,
16-Jun-02,Potato,538,628,575,pune,pune,,
17-Jun-02,Potato,550,620,575,pune,pune,,
18-Jun-02,Potato,500,600,550,pune,pune,,
19-Jun-02,Potato,500,600,550,pune,pune,,
20-Jun-02,Potato,400,600,500,pune,pune,,
21-Jun-02,Potato,500,600,550,pune,pune,,
22-Jun-02,Potato,506,600,554,pune,pune,,
23-Jun-02,Potato,512,600,558,pune,pune,,
24-Jun-02,Potato,519,600,561,pune,pune,,
25-Jun-02,Potato,525,600,565,pune,pune,,
26-Jun-02,Potato,500,650,575,pune,pune,,
27-Jun-02,Potato,525,650,588,pune,pune,,
28-Jun-02,Potato,550,650,600,pune,pune,,
29-Jun-02,Potato,550,650,600,pune,pune,,
30-Jun-02,Potato,550,650,600,pune,pune,,
30-Jun-02,Potato,550,650,600,pune,pune,,
1-Jul-02,Potato,550,650,600,pune,pune,,
2-Jul-02,Potato,550,650,600,pune,pune,,
3-Jul-02,Potato,550,650,600,pune,pune,,
4-Jul-02,Potato,550,650,600,pune,pune,,
5-Jul-02,Potato,550,650,600,pune,pune,,
6-Jul-02,Potato,550,650,600,pune,pune,,
7-Jul-02,Potato,550,650,600,pune,pune,,
8-Jul-02,Potato,550,650,600,pune,pune,,
9-Jul-02,Potato,550,650,600,pune,pune,,
10-Jul-02,Potato,550,650,600,pune,pune,,
11-Jul-02,Potato,550,650,600,pune,pune,,
12-Jul-02,Potato,550,650,600,pune,pune,,
13-Jul-02,Potato,550,650,600,pune,pune,,
14-Jul-02,Potato,550,650,600,pune,pune,,
15-Jul-02,Potato,550,650,600,pune,pune,,
16-Jul-02,Potato,550,650,600,pune,pune,,
17-Jul-02,Potato,550,650,600,pune,pune,,
18-Jul-02,Potato,550,650,600,pune,pune,,
19-Jul-02,Potato,561,661,611,pune,pune,,
20-Jul-02,Potato,573,673,623,pune,pune,,
21-Jul-02,Potato,584,684,634,pune,pune,,
22-Jul-02,Potato,595,695,645,pune,pune,,
23-Jul-02,Potato,607,707,657,pune,pune,,
24-Jul-02,Potato,618,718,668,pune,pune,,
25-Jul-02,Potato,630,730,680,pune,pune,,
26-Jul-02,Potato,641,741,691,pune,pune,,
27-Jul-02,Potato,652,752,702,pune,pune,,
28-Jul-02,Potato,664,764,714,pune,pune,,
29-Jul-02,Potato,675,775,725,pune,pune,,
30-Jul-02,Potato,686,786,736,pune,pune,,
31-Jul-02,Potato,698,798,748,pune,pune,,
1-Sep-02,Potato,709,809,759,pune,pune,,
2-Sep-02,Potato,720,820,770,pune,pune,,
3-Sep-02,Potato,732,832,782,pune,pune,,
4-Sep-02,Potato,743,843,793,pune,pune,,
5-Sep-02,Potato,755,855,805,pune,pune,,
6-Sep-02,Potato,766,866,816,pune,pune,,
7-Sep-02,Potato,777,877,827,pune,pune,,
8-Sep-02,Potato,789,889,839,pune,pune,,
9-Sep-02,Potato,800,900,850,pune,pune,,
10-Sep-02,Potato,800,900,850,pune,pune,,
11-Sep-02,Potato,800,900,850,pune,pune,,
12-Sep-02,Potato,800,900,850,pune,pune,,
13-Sep-02,Potato,800,900,850,pune,pune,,
14-Sep-02,Potato,783,867,825,pune,pune,,
15-Sep-02,Potato,767,833,800,pune,pune,,
16-Sep-02,Potato,750,800,775,pune,pune,,
17-Sep-02,Potato,800,850,825,pune,pune,,
