date,Commodity,Min_Price,Max_Price,Modal_Price,District,Market,Variety,Grade
16-Jun-13,Tomato,2600,3200,2900,,,,
17-Jun-13,Tomato,2000,2500,2250,,,,
18-Jun-13,Tomato,2200,2600,2400,,,,
19-Jun-13,Tomato,2400,2800,2600,,,,
20-Jun-13,Tomato,2200,2600,2400,,,,
21-Jun-13,Tomato,1500,2000,1750,,,,
22-Jun-13,Tomato,2500,3000,2750,,,,
23-Jun-13,Tomato,2000,2500,2250,,,,
24-Jun-13,Tomato,1800,2400,2100,,,,
25-Jun-13,Tomato,2400,2800,2600,,,,
26-Jun-13,Tomato,1800,2200,2000,,,,
27-Jun-13,Tomato,1500,2000,1750,,,,
28-Jun-13,Tomato,1500,2000,1750,,,,
29-Jun-13,Tomato,1400,1800,1600,,,,
30-Jun-13,Tomato,1400,1800,1600,,,,
01-Jul-13,Tomato,1800,2400,2100,,,,
02-Jul-13,Tomato,2000,2500,2250,,,,
03-Jul-13,Tomato,3000,3500,3250,,,,
04-Jul-13,Tomato,3200,3800,3500,,,,
05-Jul-13,Tomato,4400,4800,4600,,,,
06-Jul-13,Tomato,5000,5500,5250,,,,
07-Jul-13,Tomato,5000,5500,5250,,,,
08-Jul-13,Tomato,4800,5200,5000,,,,
09-Jul-13,Tomato,4600,5200,4900,,,,
10-Jul-13,Tomato,4000,4500,4250,,,,
11-Jul-13,Tomato,3600,4000,3800,,,,
12-Jul-13,Tomato,2800,3200,3000,,,,
13-Jul-13,Tomato,2800,3200,3000,,,,
14-Jul-13,Tomato,3000,3500,3250,,,,
15-Jul-13,Tomato,3200,3600,3400,,,,
16-Jul-13,Tomato,4000,4500,4250,,,,
17-Jul-13,Tomato,4000,4500,4250,,,,
18-Jul-13,Tomato,4000,4500,4250,,,,
19-Jul-13,Tomato,4200,4600,4400,,,,
20-Jul-13,Tomato,3800,4200,4000,,,,
21-Jul-13,Tomato,3500,4000,3750,,,,
22-Jul-13,Tomato,3400,3800,3600,,,,
23-Jul-13,Tomato,2500,3500,3000,,,,
24-Jul-13,Tomato,2500,3000,2750,,,,
25-Jul-13,Tomato,2500,3000,2750,,,,
26-Jul-13,Tomato,2800,3400,3100,,,,
27-Jul-13,Tomato,2500,3000,2750,,,,
28-Jul-13,Tomato,2000,2500,2250,,,,
29-Jul-13,Tomato,2400,2800,2600,,,,
30-Jul-13,Tomato,2500,3000,2750,,,,
31-Jul-13,Tomato,2500,3000,2750,,,,
01-Aug-13,Tomato,2500,3200,2850,,,,
02-Aug-13,Tomato,3500,4000,3750,,,,
03-Aug-13,Tomato,3000,3500,3250,,,,
04-Aug-13,Tomato,3500,4000,3750,,,,
